"","Rate (%)"
"Aug-10","5.0"
"Sep-10","5.1"
"Oct-10","5.3"
"Nov-10","5.1"
"Dec-10","4.9"
"Jan-11","5.0"
"Feb-11","5.0"
"Mar-11","4.9"
"Apr-11","5.0"
"May-11","5.0"
"Jun-11","4.9"
"Jul-11","5.1"
"Aug-11","5.3"
"Sep-11","5.2"
"Oct-11","5.2"
"Nov-11","5.2"
"Dec-11","5.2"
"Jan-12","5.0"
"Feb-12","5.2"
"Mar-12","5.2"
"Apr-12","5.0"
"May-12","5.2"
"Jun-12","5.2"
"Jul-12","5.2"
"Aug-12","5.1"
"Sep-12","5.5"
"Oct-12","5.4"
"Nov-12","5.3"
"Dec-12","5.4"
"Jan-13","5.4"
"Feb-13","5.4"
"Mar-13","5.6"
"Apr-13","5.6"
"May-13","5.6"
"Jun-13","5.7"
"Jul-13","5.6"
"Aug-13","5.8"
"Sep-13","5.7"
"Oct-13","5.8"
"Nov-13","5.8"
"Dec-13","5.9"
"Jan-14","5.9"
"Feb-14","5.9"
"Mar-14","5.9"
"Apr-14","5.8"
"May-14","5.9"
"Jun-14","6.0"
"Jul-14","6.2"
"Aug-14","6.1"
"Sep-14","6.2"
"Oct-14","6.4"
"Nov-14","6.3"
"Dec-14","6.1"
"Jan-15","6.3"
"Feb-15","6.1"
"Mar-15","6.1"
"Apr-15","6.1"
"May-15","5.9"
"Jun-15","6.0"
"Jul-15","6.3"
"Aug-15","6.1"
"Sep-15","6.2"
"Oct-15","5.9"
"Nov-15","5.9"
"Dec-15","5.7"
"Jan-16","6.0"
"Feb-16","5.7"
"Mar-16","5.6"
"Apr-16","5.6"
"May-16","5.7"
"Jun-16","5.7"
"Jul-16","5.7"
"Aug-16","5.6"
"Sep-16","5.6"
"Oct-16","5.6"
"Nov-16","5.8"
"Dec-16","5.8"
"Jan-17","5.7"
"Feb-17","5.8"
"Mar-17","5.8"
"Apr-17","5.6"
"May-17","5.6"
"Jun-17","5.6"
"Jul-17","5.6"
"Aug-17","5.5"
"Sep-17","5.4"
"Oct-17","5.4"
"Nov-17","5.4"
"Dec-17","5.6"
"Jan-18","5.5"
"Feb-18","5.6"
"Mar-18","5.5"
"Apr-18","5.5"
"May-18","5.4"
"Jun-18","5.3"
"Jul-18","5.3"
"Aug-18","5.3"
"Sep-18","5.0"
"Oct-18","5.0"
"Nov-18","5.1"
"Dec-18","5.0"
"Jan-19","5.0"
"Feb-19","5.0"
"Mar-19","5.1"
"Apr-19","5.2"
"May-19","5.2"
"Jun-19","5.2"
"Jul-19","5.2"
"Aug-19","5.2"
"Sep-19","5.2"
"Oct-19","5.3"
"Nov-19","5.1"
"Dec-19","5.1"
"Jan-20","5.3"
"Feb-20","5.1"
"Mar-20","5.2"
"Apr-20","6.4"
"May-20","7.1"
"Jun-20","7.4"
"Jul-20","7.5"
"Aug-20","6.8"

"Source: Australian Bureau of Statistics, undefined August 2020"